A87,Album of Norfolk Island Views,79,79,100.0
A385,Returns of Aliens,21,21,100.0
A401,Records of Aliens,767,767,100.0
A821,"Memorials of naturalization, with unenrolled or uncollected certificates",1703,1703,100.0
A822,"Memorials and certificates of naturalization (unenrolled or uncollected), for South Australia under Act 20 of 21 Victoria",90,90,100.0
A824,Miscellaneous papers and correspondence relating to aliens,13,13,100.0
A825,"Memorials of Naturalization, unregistered (1865)",2,2,100.0
A828,Lists of Army Personnel (Australian Military Force and Second Australian Imperial Force),12,12,100.0
A1420,"Folders of correspondence between Prime Minister Stanley Melbourne Bruce and External Affairs Liaison Officer (London), Major RG Casey",8,8,100.0
A1421,Correspondence with (Assistant) Federal Treasurer R G Casey,4,4,100.0
A1632,Memoirs of Malcolm Lindsay Shepherd,5,5,100.0
A1661,Photographs relating to the Federal Capital,10,10,100.0
A1670,"Photographic negatives, two number series with 'VPD' (Vietnam Parliamentary Delegation) prefix",82,82,100.0
A1673,"Photographic negatives, single number series with 'JPM' (Japanese Prime Minister) prefix",135,135,100.0
A1768,"Photographic negatives, single number series with 'CPT' (Colombo Plan Tour) prefix",1169,1169,100.0
A2048,"Scale Model of Orroral Valley Tracking Station (Scale 1/8"" = 1'10"")",2,2,100.0
A2456,Palm prints of Asians taken on arrival in Australia,29,29,100.0
A2457,Photographic copies of palm prints and profiles of Asian prohibited immigrants,2,2,100.0
A2751,"Photographic transparencies, single number with 'OGK' [Olympic Games Colour] prefix",3,3,100.0
A2752,"Photographic transparencies, single number with 'KAV' [visit of Princess Alexandra, colour] prefix",3,3,100.0
A2755,"Photographic colour transparencies, single number series with 'KRVDD' [Colour, Royal Visit of Duke and Duchess of Gloucester] prefix",3,3,100.0
A2757,"Photographic transparencies, single number series with 'KRVM' [Colour, Visit of Princess Marina to Australia, 1963] prefix",57,57,100.0
A2865,"Library material, old 'P' multiple number system",2,2,100.0
A3023,Correspondence files,15,15,100.0
A3141,"Correspondence files dealing with the [third] Empire Forestry Conference [Australia, 1928]",18,18,100.0
